Place of birth,Total,Male,Female
Alabama/AL,4796802,2305305,2491497
Alaska/AK,620300,314568,305732
Arizona/AZ,3785683,1903304,1882379
Arkansas/AR,2853625,1383493,1470132
California/CA,28888222,14475503,14412719
Colorado/CO,3653387,1830197,1823190
Connecticut/CT,3198989,1583245,1615744
Delaware/DE,732227,357756,374471
District of Columbia/DC,1396735,680696,716039
Florida/FL,10008126,5007338,5000788
Georgia/GA,7605966,3722818,3883148
Hawaii/HI,1273630,633521,640109
Idaho/ID,1337233,667444,669789
Illinois/IL,13447152,6619622,6827530
Indiana/IN,6567446,3240449,3326997
Iowa/IA,3615535,1774156,1841379
Kansas/KS,2954195,1455362,1498833
Kentucky/KY,4441856,2171452,2270404
Louisiana/LA,5200494,2525284,2675210
Maine/ME,1321657,649834,671823
Maryland/MD,4400793,2164021,2236772
Massachusetts/MA,6513745,3205104,3308641
Michigan/MI,10661679,5257363,5404316
Minnesota/MN,5233705,2600045,2633660
Mississippi/MS,3374298,1608524,1765774
Missouri/MO,5927628,2909890,3017738
Montana/MT,974197,482576,491621
Nebraska/NE,2068297,1019882,1048415
Nevada/NV,1169383,590242,579141
New Hampshire/NH,970293,478376,491917
New Jersey/NJ,7651539,3783780,3867759
New Mexico/NM,1829081,901198,927883
New York/NY,20318268,10024060,10294208
North Carolina/NC,7604415,3694361,3910054
North Dakota/ND,973177,476596,496581
Ohio/OH,12444257,6132622,6311635
Oklahoma/OK,3613621,1774862,1838759
Oregon/OR,2810902,1404365,1406537
Pennsylvania/PA,13459184,6586073,6873111
Rhode Island/RI,1073768,530158,543610
South Carolina/SC,3892618,1866122,2026496
South Dakota/SD,1026866,507778,519088
Tennessee/TN,5621847,2741862,2879985
Texas/TX,20276057,10058622,10217435
Utah/UT,2597979,1313865,1284114
Vermont/VT,554561,276583,277978
Virginia/VA,6230093,3057867,3172226
Washington/WA,4849286,2421922,2427364
West Virginia/WV,2310917,1114745,1196172
Wisconsin/WI,5633354,2792699,2840655
Wyoming/WY,550007,272329,277678
American Samoa,29550,14182,15368
Guam,97977,48316,49661
Commonwealth of the Northern Mariana Islands,12343,5491,6852
Puerto Rico,1756345,846120,910225
US Virgin Islands,71063,34958,36105
Albania,94056,46420,47636
Austria,52598,23665,28933
Belgium,47732,23451,24281
Bulgaria,71434,33156,38278
Czechoslovakia,18968,7100,11868
Denmark,32547,15947,16600
Finland,20670,8092,12578
France,237195,112232,124963
Germany,1173829,521331,652498
Greece,148496,78646,69850
Hungary,69177,30916,38261
Iceland,11286,5336,5950
Ireland,134154,65642,68512
Italy,412324,205331,206993
Netherlands,100753,50729,50024
Norway,27851,13942,13909
Poland,435058,190935,244123
Portugal,153815,75671,78144
Azores Islands,31015,14418,16597
Romania,165419,76492,88927
Spain,147299,74595,72704
Sweden,54012,23769,30243
Switzerland,46427,22139,24288
"United Kingdom, Not Specified",374841,197931,176910
England,420672,199946,220726
Scotland,68326,30151,38175
Northern Ireland (2017 or later),6295,3264,3031
Yugoslavia,41837,20822,21015
Czech Republic,29740,12665,17075
Slovakia,19730,9135,10595
Bosnia and Herzegovina,112710,55620,57090
Croatia,41716,20446,21270
Macedonia,28256,14258,13998
Serbia,38420,18782,19638
Latvia,23067,9659,13408
Lithuania,35558,14214,21344
Armenia,91158,41158,50000
Azerbaijan,20488,9823,10665
Belarus,64127,28892,35235
Georgia,21739,10311,11428
Moldova,45594,21838,23756
Russia,418034,173641,244393
Ukraine,353052,157953,195099
USSR,57085,27365,29720
Europe (2017 or later),4540,2223,2317
Kosovo (2017 or later),4092,1988,2104
Montenegro,16357,8143,8214
"Other Europe, Not Specified",37471,18276,19195
Afghanistan,92584,46873,45711
Bangladesh,240577,124402,116175
Bhutan,56457,28623,27834
Myanmar,144354,74085,70269
Cambodia,156946,68892,88054
China,2152892,959078,1193814
Cyprus (2016 or earlier),5726,2917,2809
Hong Kong,243088,115536,127552
India,2482970,1304150,1178820
Indonesia,99074,42736,56338
Iran,395911,204141,191770
Iraq,227723,119328,108395
Israel,164218,91363,72855
Japan,550540,222509,328031
Jordan,85618,46432,39186
Korea,1126981,481620,645361
Kazakhstan,31112,13309,17803
Kyrgyzstan (2017 or later),4977,2103,2874
Kuwait,35365,20471,14894
Laos,189296,91654,97642
Lebanon,134496,74002,60494
Malaysia,78466,36810,41656
Mongolia (2017 or later),5963,2564,3399
Nepal,135171,72750,62421
Pakistan,399643,209241,190402
Philippines,2103844,851727,1252117
Saudi Arabia,103990,62406,41584
Singapore,40093,18331,21762
Sri Lanka,49353,24823,24530
Syria,100293,51943,48350
Taiwan,392210,167164,225046
Thailand,275507,107687,167820
Turkey,136437,71297,65140
United Arab Emirates,24348,14149,10199
Uzbekistan,63433,30639,32794
Vietnam,1362937,629426,733511
Yemen,64908,36617,28291
Asia,57264,30836,26428
"South Central Asia, Not Specified",16021,7480,8541
"Other Asia, Not Specified",31312,16113,15199
Bermuda,16524,7735,8789
Canada,953946,443937,510009
Mexico,11766457,6142962,5623495
Belize,49928,21166,28762
Costa Rica,93052,43922,49130
El Salvador,1388983,712292,676691
Guatemala,967435,554166,413269
Honduras,637938,326325,311613
Nicaragua,264977,119898,145079
Panama,152627,62893,89734
Antigua & Barbuda,21378,8644,12734
Bahamas,37141,16755,20386
Barbados,54722,23042,31680
Cuba,1284727,634537,650190
Dominica,33185,13964,19221
Dominican Republic,1143060,507279,635781
Grenada,37786,16800,20986
Haiti,691073,324731,366342
Jamaica,760096,332545,427551
St. Kitts-Nevis (2017 or later),4649,1795,2854
St. Lucia,22694,8591,14103
St. Vincent & the Grenadines,24017,9809,14208
Trinidad & Tobago,236535,101816,134719
West Indies,28246,13662,14584
"Caribbean, not specified",38580,17406,21174
Argentina,195458,97542,97916
Bolivia,81362,38244,43118
Brazil,433056,195030,238026
Chile,106811,51930,54881
Colombia,766589,329454,437135
Ecuador,447939,226264,221675
Guyana,277517,125876,151641
Paraguay,20656,9779,10877
Peru,465446,213513,251933
Uruguay,48199,25331,22868
Venezuela,326954,154236,172718
South America,13787,6868,6919
"Americas, not specified",15610,7505,8105
Algeria,23262,13994,9268
Cameroon,59117,28741,30376
Cabo Verde,44537,19062,25475
Congo,27391,12964,14427
Egypt,198522,109026,89496
Ethiopia,255035,127460,127575
Eritrea,43487,22441,21046
Gambia,15937,8408,7529
Ghana,170441,91491,78950
Guinea,17034,9918,7116
Ivory Coast (2017 or later),11311,6439,4872
Kenya,147235,72850,74385
Liberia,90847,42783,48064
Libya,18708,10002,8706
Morocco,86834,48970,37864
Nigeria,342285,179261,163024
Rwanda (2017 or later),6122,3232,2890
Senegal,26397,15207,11190
Sierra Leone,43577,21261,22316
Somalia,96463,45837,50626
South Africa,108863,54107,54756
Sudan,47068,25681,21387
Tanzania,26244,14225,12019
Togo,24333,12555,11778
Tunisia (2017 or later),3632,2127,1505
Uganda,31091,15151,15940
Democratic Republic of Congo (Zaire),41700,21332,20368
Zambia,14970,7251,7719
Zimbabwe,24277,12115,12162
Africa,124000,64003,59997
South Sudan (2017 or later),4215,2738,1477
"Northern Africa, Not Specified",6643,4094,2549
"Western Africa, not specified",51418,31250,20168
"Other Africa, not specified",27615,13851,13764
"Eastern Africa, Not Specified",36425,17387,19038
Australia,108666,54417,54249
Fiji,45827,21965,23862
Marshall Islands,23462,11863,11599
Micronesia,30988,14071,16917
New Zealand,35662,18223,17439
Tonga,18080,9072,9008
Samoa,13728,6883,6845
"Other US Island Areas, Oceania, Not Specified, or at Sea",14971,6576,8395